17:02:06 (00:00:30) (chat)  anksi: Kreygasm Kreygasm
17:17:22 (00:15:45) (chat)  ninnao_0: wlg5 wlg5 wlg5 wlg5 wlg5
17:17:22 (00:15:46) (chat)  firestorm_cat: wlg5 wlg5 wlg5 wlg5 wlg5
17:17:38 (00:16:02) (chat)  kozemehu: DogePls wlgHype wlgDance DogePls wlgHype wlgDance DogePls wlgHype wlgDance DogePls wlgHype wlgDance DogePls wlgHype wlgDance DogePls wlgHype wlgDance DogePls wlgHype wlgDance
17:17:41 (00:16:04) (chat)  arcangenius: wlg5 wlg5 wlg5
17:17:43 (00:16:07) (chat)  Refokkusu: @ninnao_0 wlgEz wlgFlowers
17:17:45 (00:16:08) (chat)  kozemehu: DogePls wlgHype wlgDance DogePls wlgHype wlgDance
17:17:52 (00:16:15) (chat)  Nick_TIRONE: !throw wlgNade @kawa_blelele
17:17:53 (00:16:17) (chat)  wlgboy: @Nick_TIRONE кидает гранату в @kawa_blelele и попадает в какого-то оленя!
17:18:04 (00:16:27) (chat)  Takeshi13: wlgThonk кого-то не хватает
17:18:11 (00:16:34) (chat)  Refokkusu: !throw wlgNade @WELOVEGAMES
17:18:12 (00:16:36) (chat)  wlgboy: @Refokkusu кидает гранату в @WELOVEGAMES, но тот прячется за @jaguar_arx
17:18:16 (00:16:39) (chat)  ninnao_0: @Refokkusu Kappa wlg5 wlgAsm
17:18:16 (00:16:39) (chat)  wlgboy: хочешь узнать, когда будет следующий стрим? Подпишись на уведомления посредством личных сообщений ВКонтакте. Это удобно! https://vk.cc/9rSVZA
17:18:20 (00:16:43) (chat)  Refokkusu: !caps
17:18:20 (00:16:43) (chat)  wlgboy: @Refokkusu ваш баланс составляет 2585 крышечек.
17:18:24 (00:16:47) (chat)  kozemehu: прям всплакнул
17:18:29 (00:16:52) (chat)  kozemehu: wlgCry wlgCry wlgCry BibleThump
17:18:30 (00:16:53) (chat)  Takeshi13: Jebaited а точно , нонсабиков то нету
17:18:43 (00:17:06) (chat)  Nick_TIRONE: !throw wlgPizza @kawa_blelele
17:18:44 (00:17:08) (chat)  wlgboy: Nick_TIRONE кинул wlgPizza в kawa_blelele
17:18:48 (00:17:11) (chat)  Takeshi13: @kozemehu wlg5 привет
17:18:53 (00:17:17) (chat)  Lootos812: Всем привет
17:18:54 (00:17:17) (chat)  ninnao_0: @Takeshi13 так тихо и спокойно Kappa
17:18:56 (00:17:19) (chat)  LionSPb: @WELOVEGAMES врывайся wlgPizza
17:18:56 (00:17:20) (chat)  kawa_blelele: @Nick_TIRONE че кидаешься?
17:18:57 (00:17:20) (chat)  kozemehu: @Takeshi13 wlgF добрейшего
17:19:02 (00:17:25) (chat)  LionSPb: @lootos812 привет wlg5 wlgOralb
17:19:03 (00:17:26) (chat)  bobuika: igorFeel igorFeel igorFeel igorFeel
17:19:03 (00:17:27) (chat)  Nick_TIRONE: @kawa_blelele че игноришь
17:19:05 (00:17:28) (chat)  AlexanderRoman: Странные каверы
17:19:09 (00:17:33) (chat)  Mutabor_Shooter: @Takeshi13 wlg5 wlgPled
17:19:10 (00:17:34) (chat)  WELOVEGAMES: Я помылся wlgBored
17:19:11 (00:17:34) (chat)  ninnao_0: !follow
17:19:13 (00:17:37) (chat)  JDdono: wlg5 wlg5 wlg5 ну что сегодня до 5 главы?
17:19:14 (00:17:37) (chat)  Takeshi13: @ninnao_0 wlgPeka
17:19:15 (00:17:38) (chat)  Grin01: BLELELE
17:19:16 (00:17:39) (chat)  wlgboy: переходи по ссылке vk.cc/9OYaHK и приобретай новую улучшенную бритву Gillette Fusion 5 ProGlide. Это выбор настоящего мужика. Начни с себя. Ведь гладко в жизни – гладко во всем! С Gillette любая твоя катка будет гладкой.
17:19:17 (00:17:40) (chat)  Nick_TIRONE: wlgBored
17:19:19 (00:17:42) (chat)  LionSPb: @welovegames wlgThumb wlgDuck
17:19:20 (00:17:43) (chat)  Rupir: guitComfort wlg5
17:19:21 (00:17:45) (chat)  xeniamuerte: wlgBored wlgBored wlgBored
17:19:21 (00:17:45) (chat)  life_is_anguish: wlgThumb
17:19:22 (00:17:45) (chat)  Lootos812: wlgBored wlgBored
17:19:28 (00:17:51) (chat)  Takeshi13: @welovegames с лёгким паром
17:19:31 (00:17:54) (chat)  RinaRuina: @throw towel @WELOVEGAMES
17:19:33 (00:17:56) (chat)  ninnao_0: @WELOVEGAMES SeemsGood wlgThumb
17:19:34 (00:17:57) (chat)  Refokkusu: @WELOVEGAMES Гранаты сделал ахаха
17:19:36 (00:17:59) (chat)  schnapsik: любимые песни подъехали wlgLuv
17:19:36 (00:17:59) (chat)  wlgboy: розыгрыши, мемы, игровые новости, анонсы стримов, музыка в нашем сообществе ВКонтакте: vk.com/welovegames
17:19:39 (00:18:02) (chat)  arcangenius: wlgPled
17:19:39 (00:18:02) (chat)  kozemehu: @WELOVEGAMES вытереться не забудь
17:19:39 (00:18:03) (chat)  Takeshi13: @mutabor_shooter @rupir wlg5 wlgPled
17:19:41 (00:18:05) (chat)  PriSmerti: @welovegames а побриться? wlgGillette
17:19:45 (00:18:08) (chat)  HappyFafnir: wlgPizza wlgPizza wlgPizza
17:19:48 (00:18:11) (chat)  RinaRuina: NotLikeThis NotLikeThis NotLikeThis
17:19:48 (00:18:12) (chat)  ninnao_0: !help
17:19:48 (00:18:12) (chat)  WELOVEGAMES: Ща
17:19:49 (00:18:12) (chat)  wlgboy: command list - !passport, !ball, !caps [give/top/add/take], !buy, !inv [drop/clear], !throw, !rockets [top], !wasteland, !trade [cancel/accept/decline]
17:19:50 (00:18:13) (chat)  LionSPb: wlgPled
17:19:52 (00:18:15) (chat)  J0hn_Coffee: wlgEz wlgEz wlgEz
17:19:52 (00:18:15) (chat)  Mutabor_Shooter: @WELOVEGAMES гранатки сделал? wlgOralb
17:19:54 (00:18:17) (chat)  Takeshi13: @xeniamuerte wlgHype wlgFlowers привет
17:19:54 (00:18:18) (chat)  Grin01: @WELOVEGAMES Чистенький
17:19:55 (00:18:18) (chat)  kozemehu: всё вытри ДЕнис
17:19:55 (00:18:18) (chat)  Rupir: @Takeshi13 guitComfort wlg5
17:19:56 (00:18:19) (chat)  wlgboy: прослушать саундтрек из Death Stranding можно по ссылке: https://vk.cc/a02mfe
17:20:00 (00:18:23) (chat)  kozemehu: и везде
17:20:00 (00:18:23) (chat)  Nick_TIRONE: !throw DansGame @kawa_blelele
17:20:01 (00:18:25) (chat)  wlgboy: Nick_TIRONE кинул DansGame в kawa_blelele
17:20:05 (00:18:28) (chat)  kozemehu: иначе простудишься
17:20:08 (00:18:31) (chat)  life_is_anguish: не одевайся только полотенечко на бёдра
17:20:10 (00:18:33) (chat)  xeniamuerte: Приветики всем wlgMug wlgLuv
17:20:16 (00:18:39) (chat)  LionSPb: @xeniamuerte привет wlg5 wlgOralb wlgFlowers
17:20:18 (00:18:41) (chat)  Nick_TIRONE: @xeniamuerte привет дорогая
17:20:21 (00:18:44) (chat)  PriSmerti: @xeniamuerte wlg5
17:20:26 (00:18:50) (chat)  kozemehu: DogePls wlgHype wlgDance
17:20:32 (00:18:55) (chat)  GlebBio: @mutabor_shooter @grin01 @rupir @xeniamuerte wlgFlowers wlgMug wlgFlowers wlgMug wlgFlowers wlgMug wlgFlowers wlgMug wlgFlowers wlgMug wlgFlowers
17:20:36 (00:18:59) (chat)  wlgboy: скидка до 20% на продукцию ASUS. Приятных покупок с промокодом WLG по ссылке: https://vk.cc/9ivAk7
17:20:36 (00:18:59) (chat)  Refokkusu: @life_is_anguish Зачем, можно и без него )))
17:20:38 (00:19:01) (chat)  Takeshi13: @grin01 wlg5 wlgHype привет
17:20:45 (00:19:08) (chat)  Rupir: @GlebBio guitComfort wlg5
17:20:49 (00:19:12) (chat)  life_is_anguish: LUL LUL LUL
17:20:54 (00:19:17) (chat)  ServiceNomaD: wlgThumb wlgOralb wlg5
17:20:54 (00:19:17) (chat)  kozemehu: божественные 2 трека wlgDance wlgPled
17:20:55 (00:19:19) (chat)  Mutabor_Shooter: @GlebBio wlg5 wlgPled
17:21:00 (00:19:23) (chat)  xeniamuerte: @Takeshi13 @LionSPb @Nick_TIRONE @PriSmerti @GlebBio wlgLuv wlgLuv wlgLuv
17:21:00 (00:19:23) (chat)  kozemehu: DogePls wlgHype wlgDance DogePls wlgHype wlgDance DogePls wlgHype wlgDance
17:21:04 (00:19:28) (chat)  Grin01: @GlebBio @Takeshi13 wlgHype wlgHype wlgHype wlg5 wlg5 wlg5 wlgPled wlgPled wlgPled
17:21:07 (00:19:30) (chat)  kozemehu: DogePls
17:21:09 (00:19:32) (chat)  virginiax: wlg5 wlg5 wlg5 wlg5 wlg5
17:21:10 (00:19:34) (chat)  RinaRuina: Пойду в строительный, надо закупиться(
17:21:11 (00:19:34) (chat)  gothya: Прямо не знаю кого из носильщиков стримеров выбрать для просмотра
17:21:17 (00:19:40) (chat)  Takeshi13: PowerUpL wlgAsm PowerUpR
17:21:20 (00:19:43) (chat)  uga4akaugauga: Оригинал этой песни лучше
17:21:28 (00:19:51) (chat)  koteg: wlgHype
17:21:32 (00:19:56) (chat)  Grin01: @gothya Оставайся тут
17:21:36 (00:19:59) (chat)  virginiax: вот бы всех курьеров с твича в один мир...
17:21:39 (00:20:02) (chat)  Nick_TIRONE: !wasteland
17:21:39 (00:20:02) (chat)  wlgboy: @Nick_TIRONE вы ушли в пустошь, оставив залог в 15 крышечек. Возвращение через 49 минут.
17:21:44 (00:20:08) (chat)  psyh0navt: psyh0navt subscribed with Twitch Prime. They've subscribed for 5 months, currently on a 5 month streak! wlgLuv wlgLuv wlgLuv wlgLuv
17:21:44 (00:20:08) (chat)  kozemehu: хммм wlgThonk бан на 5 минут накопил... кого бы выбрать
17:21:49 (00:20:12) (chat)  LionSPb: @gothya если ты пишешь в этот чат, значит выбор ты сделал wlgOralb
17:21:50 (00:20:13) (chat)  kozemehu: wlg5 wlg5 wlg5 wlg5 wlg5 wlg5 wlg5 wlg5
17:21:52 (00:20:15) (chat)  xeniamuerte: о, сабмод штоле? wlgGillette
17:21:52 (00:20:16) (chat)  LionSPb: wlg5 wlg5 wlg5
17:21:55 (00:20:18) (chat)  Refokkusu: !wasteland
17:21:55 (00:20:18) (chat)  wlgboy: @Refokkusu вы ушли в пустошь, оставив залог в 15 крышечек. Возвращение через 53 минуты.
17:21:56 (00:20:19) (chat)  Takeshi13: @virginiax LUL батлрояль
17:22:00 (00:20:23) (chat)  Nick_TIRONE: wlg5 wlg5 wlg5 wlg5 wlg5 wlg5
17:22:00 (00:20:24) (chat)  Takeshi13: wlg5 wlg5 wlg5
17:22:02 (00:20:25) (chat)  PriSmerti: @virginiax было бы гениально
17:22:03 (00:20:26) (chat)  ChlamydiaEvgrafovna: wlg5 wlg5 wlg5 wlg5 wlgLuv wlgLuv
17:22:07 (00:20:30) (chat)  RinaRuina: !wasteland
17:22:07 (00:20:30) (chat)  elnar88: wlg5 wlg5 wlg5 wlg5 wlg5 wlg5 wlg5
17:22:07 (00:20:31) (chat)  wlgboy: @RinaRuina вы ушли в пустошь, оставив залог в 15 крышечек. Возвращение через 51 минуту.
17:22:10 (00:20:33) (chat)  kozemehu: копить на сабмод
17:22:10 (00:20:34) (chat)  LightBringer347: wlg5 wlg5 wlg5 wlg5
17:22:13 (00:20:36) (chat)  kozemehu: тощна
17:22:13 (00:20:37) (chat)  xeniamuerte: !passport
17:22:21 (00:20:44) (chat)  bobuika: какая долгая прелюдия wlgBored wlgBored
17:22:28 (00:20:51) (chat)  kozemehu: он вытирается wlgSad
17:22:29 (00:20:52) (chat)  koteg: а сегодня Гений будет на трансляции?
17:22:30 (00:20:53) (chat)  virginiax: я бы помотрела на такое....и не только я, думаю wlgPeka
17:22:30 (00:20:54) (chat)  Grin01: @kozemehu а самобан можно?
17:22:32 (00:20:55) (chat)  xeniamuerte: wlgBored wlgBored wlgBored
17:22:36 (00:21:00) (chat)  Rupir: @kozemehu копить на бан всех ансабов tvjuicePeka
17:22:37 (00:21:00) (chat)  kozemehu: @Grin01 отож
17:22:37 (00:21:01) (chat)  Refokkusu: @kozemehu Тык кажись включенный же ))
17:22:44 (00:21:07) (chat)  Nick_TIRONE: DogePls
17:22:49 (00:21:12) (chat)  LionSPb: wlgPled
17:22:51 (00:21:14) (chat)  kozemehu: @Refokkusu не сегодня же все 30к копить)
17:22:54 (00:21:17) (chat)  ninnao_0: !cups
17:22:55 (00:21:19) (chat)  uga4akaugauga: !cam2
17:22:59 (00:21:22) (chat)  Do4ka1: BLELELE
17:23:00 (00:21:23) (chat)  Youintrap: wlg5
17:23:04 (00:21:27) (chat)  ninnao_0: !caps
17:23:04 (00:21:28) (chat)  swanky_moon: !wasteland
17:23:04 (00:21:28) (chat)  wlgboy: @ninnao_0 вы не можете это сделать, пока находитесь в пустоши.
17:23:04 (00:21:28) (chat)  life_is_anguish: вроди бы есть ограничение на сабмод 1 раз только активен или 2
17:23:05 (00:21:28) (chat)  wlgboy: @swanky_moon вы ушли в пустошь, оставив залог в 15 крышечек. Возвращение через 58 минут.
17:23:06 (00:21:29) (chat)  Luzduk: долгая доставка контента
17:23:08 (00:21:31) (chat)  Nospire: всем дратути!
17:23:15 (00:21:38) (chat)  LionSPb: @nospire привет wlg5 wlgOralb
17:23:16 (00:21:39) (chat)  wlgboy: хочешь узнать, когда будет следующий стрим? Подпишись на уведомления посредством личных сообщений ВКонтакте. Это удобно! https://vk.cc/9rSVZA
17:23:17 (00:21:40) (chat)  elnar88: Включить чтоли сразу сабмод или попозже? Надо подумать wlgPeka
17:23:18 (00:21:41) (chat)  Takeshi13: @nospire @youintrap привет
17:23:19 (00:21:42) (chat)  Luzduk: wlg5
17:23:20 (00:21:43) (chat)  GlebBio: @nospire привет
17:23:20 (00:21:44) (chat)  kozemehu: @Rupir я знал что ты жесток, но на столько... пощади0
17:23:25 (00:21:48) (chat)  ChlamydiaEvgrafovna: @Nospire wlg5 wlgLuv
17:23:26 (00:21:49) (chat)  Takeshi13: !wasteland
17:23:26 (00:21:49) (chat)  Nick_TIRONE: @Nospire wlg5 wlg5 wlg5
17:23:26 (00:21:50) (chat)  wlgboy: @Takeshi13 вы ушли в пустошь, оставив залог в 15 крышечек. Возвращение через 53 минуты.
17:23:27 (00:21:51) (chat)  xeniamuerte: Годному контенту можно долго прелюдировать Kappa
17:23:30 (00:21:53) (chat)  Refokkusu: @Rupir Поддерживаю, ансабы не люди ахахах
17:23:32 (00:21:56) (chat)  Nick_TIRONE: @elnar88, включен
17:23:37 (00:22:00) (chat)  kozemehu: Денис
17:23:38 (00:22:01) (chat)  RadioZefir: Свободу попугаям!!
17:23:40 (00:22:03) (chat)  kozemehu: хватит вытирать
17:23:41 (00:22:04) (chat)  GlebBio: Это ост старкрафта?!
17:23:55 (00:22:18) (chat)  ninnao_0: Хорошо сидим, зачем вообще отключать саб мод?
17:23:59 (00:22:22) (chat)  ninnao_0: какая свобода?
17:24:01 (00:22:24) (chat)  Refokkusu: +++
17:24:03 (00:22:27) (chat)  xeniamuerte: ++++
17:24:04 (00:22:27) (chat)  kozemehu: согласен
17:24:08 (00:22:31) (chat)  HappyFafnir: wlgHype wlgHype wlgHype wlgHype
17:24:10 (00:22:33) (chat)  Takeshi13: Jebaited нонсабики кричат в воздуховод
17:24:10 (00:22:33) (chat)  elnar88: @Nick_TIRONE Kappa ну вдруг выключат
17:24:12 (00:22:35) (chat)  Grin01: ++++
17:24:30 (00:22:54) (chat)  kozemehu: а чтобы тут писать, достаточно подписаться)
17:24:33 (00:22:56) (chat)  horus_luperkal: Стримлер живой там?
17:24:43 (00:23:07) (chat)  R_e_ed: так вот, куда мне тратить свои 20к атомов
17:24:48 (00:23:12) (chat)  swanky_moon: Ансабы вы где там?
17:24:49 (00:23:12) (chat)  life_is_anguish: wlgOralb я могу но вы ж меня тапками закидаете
17:24:56 (00:23:19) (chat)  wlgboy: прослушать саундтрек из Death Stranding можно по ссылке: https://vk.cc/a02mfe
17:24:58 (00:23:22) (chat)  Nospire: @glebbio wlgPled wlgPled wlgPled wlgLuv wlgLuv
17:24:58 (00:23:22) (chat)  ninnao_0: Свобода это у демократических стримов! а у нас правит балом буржуазия VoHiYo Kappa
17:25:10 (00:23:33) (chat)  Refokkusu: +++
17:25:16 (00:23:40) (chat)  swanky_moon: соглы
17:25:22 (00:23:45) (chat)  WELOVEGAMES: Идууу
17:25:22 (00:23:46) (chat)  kozemehu: Атомов на всё не хватит)
17:25:32 (00:23:55) (chat)  LionSPb: @welovegames давай wlgBored
17:25:34 (00:23:57) (chat)  R_e_ed: хватит
17:25:36 (00:23:59) (chat)  Grin01: @WELOVEGAMES давай
17:25:36 (00:24:00) (chat)  horus_luperkal: Гениальная заставка!
17:25:37 (00:24:00) (chat)  GlebBio: @welovegames Ждёмс
17:25:39 (00:24:02) (chat)  xeniamuerte: @WELOVEGAMES "вас заметили"
17:25:40 (00:24:03) (chat)  kozemehu: ансабы бунтуют
17:25:40 (00:24:04) (chat)  koteg: опять сабмод?
17:25:42 (00:24:05) (chat)  R_e_ed: Я настойчивый
17:25:44 (00:24:07) (chat)  Takeshi13: wlg20
17:25:47 (00:24:10) (chat)  Nospire: @welovegames бяги, а не иди
17:25:50 (00:24:13) (chat)  ba_dick: во сколько начало?
17:25:56 (00:24:19) (chat)  wlgboy: видеоинструкция по баллам канала от стримера: youtu.be/rK3z4rnQV3Y
17:25:57 (00:24:20) (chat)  elnar88: @WELOVEGAMES Куда идешь? wlgOralb
17:25:59 (00:24:23) (chat)  GlebBio: wlgF5 wlgF5 wlgF5 wlgF5
17:26:00 (00:24:24) (chat)  ServiceNomaD: @ba_dick идёт
17:26:02 (00:24:25) (chat)  ninnao_0: видимо в 2.30 @ba_dick но не точно
17:26:03 (00:24:27) (chat)  kozemehu: всего лишь то 5$
17:26:08 (00:24:31) (chat)  kozemehu: че вы а)
17:26:12 (00:24:35) (chat)  xeniamuerte: PokPikachu
17:26:13 (00:24:37) (chat)  GlebBio: @kozemehu 6)
17:26:15 (00:24:38) (chat)  Do4ka1: BongoTap
17:26:16 (00:24:39) (chat)  musicbyrouge: @ninnao_0 сейчас пролетарии капитал наберут и свергнут буржуазные порядки, вот тогда уже не весело будет... wlgDuck
17:26:18 (00:24:41) (chat)  Grin01: 4,99
17:26:18 (00:24:41) (chat)  kozemehu: тсссс
17:26:18 (00:24:41) (chat)  R_e_ed: Так ЗП только завтра :(
17:26:24 (00:24:47) (chat)  ba_dick: @ninnao_0 отлично
17:26:31 (00:24:54) (chat)  Refokkusu: @GlebBio 4.99$
17:26:39 (00:25:02) (chat)  GlebBio: Что за чудесная музыка играет
17:26:49 (00:25:13) (chat)  GlebBio: @refokkusu Везёт тебе )
17:26:52 (00:25:16) (chat)  RinaRuina: А кто-то вообще без зп сидит( И без стипухи(
17:26:53 (00:25:17) (chat)  ninnao_0: @musicbyrouge как наберут, так и раскулачим! Kappa
17:27:00 (00:25:24) (chat)  1pohuy: работяги ку
17:27:01 (00:25:24) (chat)  Jenya86: Добрый день!
17:27:05 (00:25:28) (chat)  Luzduk: опять мне кто-то монитор грязными руками заляпал
17:27:05 (00:25:29) (chat)  life_is_anguish: музыка Алисы
17:27:09 (00:25:32) (chat)  kozemehu: каких-то жалких 5$.... LUL
17:27:10 (00:25:34) (chat)  LionSPb: @jenya86 здравствуй wlg5 wlgOralb
17:27:13 (00:25:36) (chat)  Refokkusu: @GlebBio У русских же кажись дешевле
17:27:13 (00:25:36) (chat)  Jenya86: Что так долго то?
