18:37:48 (00:00:06) (chat)  Kate_Rey: алло?
19:09:40 (00:31:58) (chat)  Guarilla: обычное дело
19:09:42 (00:32:00) (chat)  igorexa19: @ArtGamesLP Многим понравилось, паре человек не понравилось и то не смотрели стрим Kappa Kappa
19:09:55 (00:32:13) (chat)  Almost_dead_Anatoliy_13: Я пропустил этот момент
19:10:00 (00:32:18) (chat)  istorik87: буду смотреть стрим с колонками, пусть и соседи уши выкинут
19:10:26 (00:32:44) (chat)  joramora: самому играть прикольней, чем смотреть ResidentSleeper
19:10:26 (00:32:44) (chat)  Tot2D2: Да, если доставка прошла без приключений, то это скорее отдых такой, а не обыденность
19:10:26 (00:32:44) (chat)  jubi_ju: она дико залипательная, так что в нее надо самому) дичить, копить и т.д.)
19:10:34 (00:32:52) (chat)  igorexa19: @istorik87 Сделай на максимум и задонать 666 artgam2Demon
19:10:57 (00:33:15) (chat)  Snejok368: привёт
19:11:12 (00:33:30) (chat)  istorik87: оки токи Гы гы
19:11:17 (00:33:36) (chat)  Tot2D2: Если бы ещё музыка чаще включалась... Но тут наверное нам дают почувствовать одиночество в пути
19:11:35 (00:33:53) (chat)  Leon_TK: OMEGALUL
19:11:36 (00:33:54) (chat)  PaNDaKyPuT: Шутки про яндекс, игра говно
19:11:36 (00:33:55) (chat)  trom6one: LUL
19:11:39 (00:33:58) (chat)  jubi_ju: @ArtGamesLP смотреть тоже интересно, до 4 утра смотрела на нашу победу над МУЛами, было оч топово)
19:11:41 (00:33:59) (chat)  xbi_xbi: LUL
19:11:43 (00:34:01) (chat)  soleny_ogurchik: и уходит в бан
19:11:45 (00:34:03) (chat)  Konaken_Skywalker: была бы ещё плойка, а так остаётся ждать на ПК BibleThump
19:12:08 (00:34:26) (chat)  Andjey_Kharkov: Попробуй задавить МУЛа?
19:12:10 (00:34:29) (chat)  Almost_dead_Anatoliy_13: @ArtGamesLP что б поиграть, надо купить ! А денег нет ! И с торрентов не скачаешь )
19:12:12 (00:34:30) (chat)  pacific_rage: люди сейчас любят судить поверхностно, чё поделать
19:12:21 (00:34:39) (chat)  igorexa19: @ArtGamesLP Как то раз играл в симулятор грузчика, таская витрины из одного магазина в другой, больше не охото Kappa
19:12:27 (00:34:45) (chat)  TarasKrater: мне очинь нравиться игра виши клас
19:12:27 (00:34:46) (chat)  vnikopol: а воровонная тачка чиниться?
19:12:28 (00:34:46) (chat)  tamagotchi991: дави их
19:12:32 (00:34:50) (chat)  SentNoodes: monkaSHAKE
19:12:40 (00:34:58) (chat)  trom6one: бежит оно вот это вот
19:12:42 (00:35:00) (chat)  Kalitvenic: это новая версия - лады баклажан ? artgam2Iq20 eisenp3lzKRANKENWAGEN
19:12:46 (00:35:05) (chat)  jubi_ju: жаль маскироваться под мулов нельзя, мы же на их тачке)
19:12:50 (00:35:08) (chat)  igorexa19: А можно его сбить?!
19:12:51 (00:35:09) (chat)  xbi_xbi: WutFace
19:12:51 (00:35:10) (chat)  RZmicier: Всем дратуте, ну че симулятор курьера (щутка)
19:13:04 (00:35:22) (chat)  gwen_devil: бежит то как радостно
19:13:06 (00:35:24) (chat)  trom6one: норм
19:13:14 (00:35:33) (chat)  SentNoodes: это евро трак симулятор 3? PartyParrot
19:13:19 (00:35:37) (chat)  Tot2D2: Отомстил за украденные боты gachiBASS
19:13:28 (00:35:46) (chat)  ifrit_n12: правильно, на шее надо затягивать
19:13:39 (00:35:58) (chat)  xbi_xbi: ну тупыыыыеее DansGame CoolStoryBob LUL
19:13:50 (00:36:08) (chat)  jubi_ju: Тёма сам стал мулом, грабит, избивает, забирает ботинки LUL вот как проклятье мулов передается
19:14:02 (00:36:20) (chat)  igorexa19: @ArtGamesLP А потом пробуксуй на них! artgam2RAGE и устрой тут кратер лунный
19:14:04 (00:36:22) (chat)  vnikopol: а нам палку тыкалку дадут?
19:14:13 (00:36:31) (chat)  Tot2D2: Интересно, а как у них спиннеры работают, если у них детей нет? :/
19:14:18 (00:36:37) (chat)  jubi_ju: кстати да, давай попробуем их убить, что игра на это скажет?
19:14:30 (00:36:48) (chat)  trom6one: по яйцам его WutFace
19:14:36 (00:36:55) (chat)  PaNDaKyPuT: С болласом стало както легко, какой-то гопник грабит караваны.
19:14:58 (00:37:17) (chat)  Andjey_Kharkov: @Tot2D2 спиннер работает и без мелкого,только просто как радар,но тварей тогда не видно
19:15:01 (00:37:19) (chat)  velasiped1: @ArtGamesLP не хоякшь подорвать 1 МУЛа на их территории?
19:15:32 (00:37:50) (chat)  tamagotchi991: чет много их
19:15:33 (00:37:51) (chat)  jubi_ju: он бежал, чтобы получить по лбу LUL
19:15:37 (00:37:56) (chat)  sloyka_s_sirom: !time
19:15:38 (00:37:56) (chat)  Nightbot: Стрим идет уже 38 minutes 7 seconds
19:15:46 (00:38:04) (chat)  9_enot_you_not: Типичный мэр
19:15:52 (00:38:11) (chat)  9_enot_you_not: мы построим тут дорогу
19:15:59 (00:38:18) (chat)  9_enot_you_not: и вас построим
19:16:00 (00:38:19) (chat)  sloyka_s_sirom: @ArtGamesLP дорогу из их костей
19:16:01 (00:38:19) (chat)  jubi_ju: и много ли им платят за такое? ради чего мистер андерсон?? почему вы бежите??
19:16:14 (00:38:32) (chat)  Tot2D2: Им не платят, они больны
19:16:15 (00:38:33) (chat)  gwen_devil: много их однако
19:16:31 (00:38:49) (chat)  Andjey_Kharkov: Нагребли барахла
19:16:33 (00:38:52) (chat)  Konaken_Skywalker: @artgameslp интересно мы станем сами МУЛами, если доставлять оочень много посылок и типа у нас тоже разовьётся это состояние, к примеру в мгс 5 рог рос от бессмысленного убийства
19:16:43 (00:39:01) (chat)  jubi_ju: @Tot2D2 ну, у них зависимость от этой работы, я так понимаю) и им платят за нее все равно, есть же одиночки
19:16:43 (00:39:01) (chat)  gwen_devil: они не поднимутся больше?
19:16:45 (00:39:03) (chat)  igorexa19: @ArtGamesLP два вопроса, если сбить их, карта взорветься или они "уснут"? И если их глушить в воде, кратер будет? LUL
19:17:13 (00:39:32) (chat)  jubi_ju: Тёма, убей одного ради научного интереса!
19:17:14 (00:39:32) (chat)  tommywasco: LUL LUL
19:17:15 (00:39:34) (chat)  tamagotchi991: LUL
19:17:20 (00:39:39) (chat)  trom6one: альтернативная концовка LUL
19:17:29 (00:39:47) (chat)  velasiped1: Тёма, реально грохни ё
19:17:29 (00:39:48) (chat)  igorexa19: @ArtGamesLP Пробуксуй на трупе, ток подальше от дороги Kappa
19:17:33 (00:39:51) (chat)  Tot2D2: @igorexa19 уверен на ютубе кто-нибудь уже тестил
19:17:34 (00:39:52) (chat)  jubi_ju: ты успеешь убежать, 72 часа же
19:17:35 (00:39:53) (chat)  Roland_god: Во имя науки!
19:17:35 (00:39:54) (chat)  vnikopol: сохранись
19:17:38 (00:39:56) (chat)  9_enot_you_not: сохранился бы
19:17:40 (00:39:59) (chat)  gwen_devil: страаашно
19:17:43 (00:40:01) (chat)  EnJiL: ну которому ты удавкой в голову попал...мне кажется, он умер
19:17:46 (00:40:04) (chat)  Guarilla: кинь в реку, связанного
19:17:52 (00:40:10) (chat)  jubi_ju: LUL ох этот чат
19:17:54 (00:40:13) (chat)  alice_morietur: LUL LUL LUL
19:17:56 (00:40:15) (chat)  trom6one: надо было сначала сохраниться не ради науки
19:18:04 (00:40:22) (chat)  vnikopol: они вроде взрываются только через 48 часов
19:18:12 (00:40:30) (chat)  Erzhanou: На ПК для закрепления надо перепройти
19:18:17 (00:40:35) (chat)  falkon_98: драстуйте)
19:18:27 (00:40:46) (chat)  Andjey_Kharkov: Ты кстати,вроде того убил, некроз же не сразу начинается
19:18:30 (00:40:48) (chat)  Tot2D2: Да, там же даже у мёртвых не всегда взрыв. Нужен ведь контакт с БТ
19:18:30 (00:40:49) (chat)  sloyka_s_sirom: хай тек
19:18:41 (00:41:00) (chat)  igorexa19: @ArtGamesLP Такие эксперементы надо проводить у них в лагере artgam2Demon
19:18:47 (00:41:06) (chat)  WhatSeekethThee: Ближе к концу вроде должны дать нормальный огнестрел. Тогда и проверим CoolStoryBob
19:18:47 (00:41:06) (chat)  TemnayaChashkaPetrI: Ладно. Пойду я потихоньку делами заниматься. Всем удачи artgam2AGHeavyHorns
19:18:48 (00:41:06) (chat)  Vikingvladivostokrus: Поджимал гений, но такое врят ли будет)
19:19:05 (00:41:23) (chat)  Kalitvenic: и че ?
19:19:22 (00:41:40) (chat)  alice_morietur: Надеюсь после этой игры, мы увидим остальные части МГС.
19:19:29 (00:41:47) (chat)  kvkcd_II: @ArtGamesLP только вдумайся. Кодзима на столько проработал игру, что создал машину с мягкими колёсами и бампером, дабы ни кого на смерть не cбить LUL
19:19:30 (00:41:48) (chat)  jubi_ju: это они находятся на враждебной территории, АЛО. если еще не поняли LUL
19:19:44 (00:42:03) (chat)  vnikopol: на дорогу заедь он заряжается там
19:19:49 (00:42:07) (chat)  korben___detka: @alice_morietur, у Кодзимы нет прав на МГС BibleThump
19:19:50 (00:42:08) (chat)  Armogidun: всем привет гайз я второй стрим не видел, много чо по сюжету пропустил?
19:19:53 (00:42:12) (chat)  aaarggh: О, я думал сегодня стрима не будет и припоздал получается. А Тема доставил))
19:20:05 (00:42:23) (chat)  vnikopol: на дороге заряжается @ArtGamesLP
19:20:07 (00:42:26) (chat)  Nightbot: На разные суммы доната стоят разные оповещения. АЦКИЕ АЛЕРТЫ на 666 и 6666 рублей. . От 50 до 299, от 300 до 499, от 500 до 799, от 800 до 999, от 1000 до 1299, от 1300 и так далее. https://donatepay.ru/don/artgames
19:20:13 (00:42:31) (chat)  alice_morietur: @korben___detka , Корбен, детка... Я про прохождение от Артема)
19:20:15 (00:42:33) (chat)  igorexa19: @ArtGamesLP Попроси проезжих прикурить свою ласточку Kappa
19:20:18 (00:42:36) (chat)  Abrams05: @ArtGamesLP Дорого заряжает
19:20:21 (00:42:39) (chat)  9_enot_you_not: а вроде заряжают дорогостроительные херовины, не? @ArtGamesLP
19:20:24 (00:42:42) (chat)  Tot2D2: Хотели дорогу строить, будем строить станцию
19:20:37 (00:42:55) (chat)  Konaken_Skywalker: @artgameslp аккум понемногу заряжается, если машина стоит бездействует
19:20:39 (00:42:57) (chat)  Abrams05: @ArtGamesLP Дорога я хотел сказать
19:20:39 (00:42:57) (chat)  Kalitvenic: это даже не спойлер :|
19:20:42 (00:43:01) (chat)  CheIIIuP: Фига я зашел. Дратуйте. Про трак симулятор уже шутили?)
19:20:49 (00:43:07) (chat)  igorexa19: Лооол, тоесть игроки строят города, а дождь их ломает и все заного?
19:20:57 (00:43:15) (chat)  korben___detka: @alice_morietur, я просто сонный, и вообще artgam2Iq20 Хотелось бы увидеть прохождение, да
